rainfall_1h,rainfall_6h,rainfall_24h,rainfall_72h,API_3d,API_7d,API_30d,rainfall_accumulation_3h,rainfall_intensity_3h,rainfall_acceleration,soil_moisture,soil_moisture_trend_24h,pore_pressure,pore_pressure_trend_24h,tilt,tilt_rate_24h,ground_displacement,displacement_velocity_24h,seismic_magnitude,seismic_distance,seismic_trigger_score,seismic_recency_hours,elevation,slope,aspect,curvature,NDVI,NDVI_change,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,FoS,CRI,sector_id,timestamp,event_label,geographic_group
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.02,3.0,0.4,0.65,0.03,1.5,0.1,4.8,25.0,0.42,999.0,850.0,32.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.35,42.0,CTRL-SK-SEIS-01,2024-02-14T03:00:00Z,0,sikkim_seismic
0.5,1.8,5.0,7.5,5.2,8.2,11.2,1.1,0.6,0.05,0.27,0.02,3.8,0.4,0.72,0.03,1.8,0.1,5.1,38.0,0.46,999.0,210.0,29.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.3,45.0,CTRL-AS-SEIS-01,2024-03-20T04:30:00Z,0,assam_seismic
4.0,13.3,38.0,57.0,39.9,62.7,85.5,8.7,4.4,0.05,0.35,0.02,7.2,0.4,0.38,0.03,1.2,0.1,0.0,999.0,0.0,999.0,800.0,31.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.41,34.0,CTRL-SK-MON-01,2024-05-10T12:00:00Z,0,sikkim_moderate
4.6,15.4,44.0,66.0,46.2,72.6,99.0,10.0,5.1,0.05,0.37,0.02,7.8,0.4,0.42,0.03,1.4,0.1,0.0,999.0,0.0,999.0,780.0,32.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.36,37.0,CTRL-MZ-MON-01,2024-05-15T12:00:00Z,0,mizoram_moderate
4.2,14.0,40.0,60.0,42.0,66.0,90.0,9.1,4.7,0.05,0.36,0.02,7.5,0.4,0.4,0.03,1.3,0.1,0.0,999.0,0.0,999.0,650.0,30.5,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.38,35.5,CTRL-MN-MON-01,2024-05-20T12:00:00Z,0,manipur_moderate
28.7,82.0,205.0,338.2,270.6,405.8,608.8,55.4,27.3,2.1,0.55,0.16,29.8,12.5,4.5,1.8,52.0,15.0,0.0,999.0,0.0,999.0,920.0,45.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.58,91.0,MZ-AIZAWL-MELTHUM,2024-05-28T05:30:00Z,1,mizoram_aizawl_basin
5.5,18.2,52.0,78.0,54.6,85.8,117.0,11.8,6.1,0.05,0.39,0.02,8.5,0.4,0.46,0.03,1.7,0.1,0.0,999.0,0.0,999.0,240.0,29.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.32,39.0,CTRL-AS-MON-01,2024-06-02T12:00:00Z,0,assam_moderate
6.8,22.8,65.0,97.5,68.2,107.3,146.2,14.8,7.6,0.05,0.41,0.02,9.5,0.4,0.52,0.03,2.0,0.1,0.0,999.0,0.0,999.0,1350.0,33.0,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.28,44.0,CTRL-ML-MON-01,2024-06-05T12:00:00Z,0,meghalaya_moderate
4.8,16.1,46.0,69.0,48.3,75.9,103.5,10.5,5.4,0.05,0.38,0.02,8.0,0.4,0.44,0.03,1.5,0.1,0.0,999.0,0.0,999.0,1250.0,32.5,180.0,0.01,0.72,0.01,0.008,0.42,0.65,550.0,1.35,38.0,CTRL-NL-MON-01,2024-06-08T12:00:00Z,0,nagaland_moderate
29.4,84.0,210.0,346.5,277.2,415.8,623.7,56.7,28.0,2.1,0.56,0.16,31.5,12.5,4.8,1.8,54.0,15.0,0.0,999.0,0.0,999.0,1250.0,44.5,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.55,92.5,SK-MANGAN-01,2024-06-12T14:00:00Z,1,sikkim_north_corridor
23.8,68.0,170.0,280.5,224.4,336.6,504.9,45.9,22.7,2.1,0.51,0.16,25.0,12.5,3.4,1.8,35.0,15.0,0.0,999.0,0.0,999.0,180.0,35.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.76,81.0,AS-CACHAR-01,2024-06-18T16:00:00Z,1,assam_barak_valley
26.6,76.0,190.0,313.5,250.8,376.2,564.3,51.3,25.3,2.1,0.53,0.16,27.5,12.5,4.0,1.8,44.0,15.0,0.0,999.0,0.0,999.0,2800.0,43.0,205.0,-0.055,0.48,-0.16,0.025,0.85,0.8,950.0,0.65,87.0,AR-TAWANG-01,2024-06-25T13:00:00Z,1,arunachal_kameng_corridor
